"PPFD","ETR"
1840,174.921
204,51.741
837,144.125
1260,165.518
1041,149.543
735,121.998
589,108.07
236,54.202
1624,180.173
1610,197.245
1417,175.514
1732,198.964
330,70.428
1129,139.724
590,94.868
242,57.195
1230,152.228
419,76.498
1313,168.257
1232,158.673
204,49.969
475,97.276
1809,182.541
213,50.635
1148,173.054
1457,184.364
1811,203.841
1359,185.253
313,61.224
1889,180.002
706,120.586
1770,186.387
695,120.875
1254,165.032
499,93.72
1847,197.748
1549,197.535
161,39.246
1329,177.287
1571,187.899
1664,176.922
276,68.606
1589,177.379
821,112.181
1530,194.941
202,51.653
1649,187.527
544,89.703
1843,186.875
1058,148.078
1485,168.946
692,130.93
1300,155.723
1256,166.066
286,63.87
1845,181.443
1644,168.068
1884,180.983
254,58.44
1848,176.209
